Pays,iso3,date,real_gdp_growth_qoq,gdp_level,final_consumption_expenditure,cpi_index,short_term_interest,trade_balance_usd_billion,reer_ic37_41_cpi
Iceland,ISL,1961Q4,2.389212807,NA,NA,0.03950495,NA,3.5570510000000003e-4,NA
Ireland,IRL,1961Q4,0.635145931,NA,NA,5.032817,NA,-0.05547814,NA
Italy,ITA,1961Q4,1.913144697,NA,NA,3.997405,NA,-0.21209001,NA
Japan,JPN,1961Q4,4.587967502,NA,NA,20.21744,NA,-0.5120446,NA
Luxembourg,LUX,1961Q4,0.165050539,NA,NA,15.82338,NA,NA,NA
Mexico,MEX,1961Q4,1.057329044,NA,NA,NA,NA,NA,NA
Netherlands,NLD,1961Q4,1.605198657,NA,NA,15.6535,NA,-0.23341531000000001,NA
Norway,NOR,1961Q4,0.743972014,NA,NA,8.672238,NA,NA,NA
OECDE,OECDE,1961Q4,1.056533,NA,NA,NA,NA,NA,NA
Portugal,PRT,1961Q4,1.658386705,NA,NA,1.137576,NA,-0.08378513,NA
South Korea,KOR,1961Q4,1.288725165,79510,319800,NA,NA,-0.06544997,NA
Spain,ESP,1961Q4,2.821708201,NA,NA,2.74634,NA,NA,NA
Sweden,SWE,1961Q4,0.503260333,NA,NA,9.158418,NA,-0.06653718,NA
Switzerland,CHE,1961Q4,1.958044212,NA,NA,25.53879,NA,-0.18743137999999998,NA
United Kingdom,GBR,1961Q4,-0.204424243,7037,16069,5.979662,NA,-0.3651509,NA
United States,USA,1961Q4,1.96166961,149394,289665.1,12.65732,NA,1.3187,NA
Australia,AUS,1962Q1,2.797794161,4505,12493.5,NA,NA,0.09410036,NA
Austria,AUT,1962Q1,1.463309536,NA,NA,17.19041,NA,-0.06705316,NA
Belgium,BEL,1962Q1,1.346942099,NA,NA,14.57883,3.4333333333,-0.028568721000000002,NA
Canada,CAN,1962Q1,2.660950188,10309,47482,12.40453,3.4021666667,-0.028407124,NA
Denmark,DNK,1962Q1,1.851870187,NA,NA,NA,NA,-0.10031739,NA
Finland,FIN,1962Q1,1.346842612,NA,NA,7.795272,NA,-0.038499964,NA
France,FRA,1962Q1,1.800279466,NA,NA,10.55748,NA,NA,NA
Germany,DEU,1962Q1,1.47335232,NA,NA,24.13801,2.9633333333,0.088061451,NA
Greece,GRC,1962Q1,-0.505156768,NA,NA,1.12357,NA,-0.12805791,NA
Iceland,ISL,1962Q1,2.324874544,NA,NA,0.03984847,NA,0.0016725562,NA
Ireland,IRL,1962Q1,0.623614891,NA,NA,5.124247,NA,-0.06041849,NA
Italy,ITA,1962Q1,1.479934673,NA,NA,4.060908,NA,-0.25198642,NA
Japan,JPN,1962Q1,1.342397804,NA,NA,20.30917,NA,-0.33608471,NA
Luxembourg,LUX,1962Q1,0.160319072,NA,NA,15.74254,NA,NA,NA
Mexico,MEX,1962Q1,1.038747449,NA,NA,NA,NA,NA,NA
Netherlands,NLD,1962Q1,2.7209447940000002,NA,NA,15.80548,NA,-0.23811456,NA
Norway,NOR,1962Q1,0.325072378,NA,NA,8.81558,NA,NA,NA
OECDE,OECDE,1962Q1,1.331885,NA,NA,NA,NA,NA,NA
Portugal,PRT,1962Q1,1.716390751,NA,NA,1.155351,NA,-0.06845237,NA
South Korea,KOR,1962Q1,1.96632563,87110,338330,NA,NA,-0.08456243,NA
Spain,ESP,1962Q1,2.365594398,NA,NA,2.777901,NA,NA,NA
Sweden,SWE,1962Q1,0.277189801,NA,NA,9.382516,NA,-0.050262752,NA
Switzerland,CHE,1962Q1,0.575396157,NA,NA,25.67225,NA,-0.21657762,NA
United Kingdom,GBR,1962Q1,0.457749702,7134,16480,6.030088,NA,-0.42573130000000003,NA
United States,USA,1962Q1,1.783663196,144274,286382.6,12.69951,NA,1.166,NA
Australia,AUS,1962Q2,1.924502943,4602,13039.4,NA,NA,0.06917014599999999,NA
Austria,AUT,1962Q2,-0.021812204,NA,NA,17.98742,NA,-0.062452110000000005,NA
Belgium,BEL,1962Q2,1.322267863,NA,NA,14.91696,3,-0.05542597,NA
Canada,CAN,1962Q2,0.794766259,10979,49377,12.56255,3.697,0.021106,NA
Denmark,DNK,1962Q2,1.123347161,NA,NA,NA,NA,-0.09917606000000001,NA
Finland,FIN,1962Q2,-2.533564371,NA,NA,7.933241,NA,-0.035835794,NA
France,FRA,1962Q2,1.615682117,NA,NA,10.65355,NA,NA,NA
G7,G7,1962Q2,1.037475,NA,NA,NA,NA,0.8276009,NA
Germany,DEU,1962Q2,1.042343972,NA,NA,24.20325,3.0966666667,0.26423477,NA
Greece,GRC,1962Q2,-0.501022482,NA,NA,1.12357,NA,-0.11574804,NA
Iceland,ISL,1962Q2,2.243606588,NA,NA,0.03984847,NA,-0.0015098247000000001,NA
Ireland,IRL,1962Q2,0.616916724,NA,NA,5.257236,NA,-0.0686213,NA
Italy,ITA,1962Q2,1.076640815,NA,NA,4.107701,NA,-0.28336945,NA
Japan,JPN,1962Q2,1.398081898,NA,NA,20.56601,NA,-0.18057967,NA
Luxembourg,LUX,1962Q2,0.161719511,NA,NA,15.92087,NA,NA,NA
Mexico,MEX,1962Q2,1.018640474,NA,NA,NA,NA,NA,NA
Netherlands,NLD,1962Q2,2.087974212,NA,NA,16.41338,NA,-0.16876748,NA
Norway,NOR,1962Q2,0.498362202,NA,NA,8.887252,NA,NA,NA
OECD,OECD,1962Q2,1.077680853,NA,NA,NA,NA,NA,NA
OECDE,OECDE,1962Q2,1.184965,NA,NA,NA,NA,NA,NA
Portugal,PRT,1962Q2,1.625878102,NA,NA,1.138564,NA,-0.05031776,NA
South Korea,KOR,1962Q2,-1.913204149,89550,330280,NA,NA,-0.07746763000000001,NA
Spain,ESP,1962Q2,2.326175952,NA,NA,2.867687,NA,NA,NA
Sweden,SWE,1962Q2,1.761047311,NA,NA,9.574201,NA,-0.005748478000000001,NA
Switzerland,CHE,1962Q2,1.155195043,NA,NA,26.05949,NA,-0.18971313,NA
USMCA,USMCA,1962Q2,0.904758,NA,NA,NA,NA,NA,NA
