obs_dy_h,obs_dy_f,obs_dc_h,obs_dc_f,obs_pi_h,obs_pi_f,obs_r_h,obs_r_f,obs_de,obs_tb_h,obs_tb_f
0.460918,0.579519406,0.3009108804443993,0.5837628960614627,-0.15023222647316292,-0.17487531993102243,-0.1,0.13833333333333334,1.1077860716552081,1.049836502129389,-0.6861089018284919
0.286753,0.321124068,0.3674527008427402,0.30919573248426785,0.4984606026868946,0.988238595227182,-0.1,0.13916666666666666,1.1394735628901724,1.2120482300877817,-0.8187357875622433
0.494636,0.709390255,0.4253035116086992,0.6407023325478794,0.196384070124391,0.3557760016175202,-0.1,0.175,1.127885913669377,1.1633023553472608,-0.7750314715161664
0.787093,0.554299113,0.5288551171617933,0.21324913590256334,0.5217107856452735,0.8794109607142038,-0.1,0.19166666666666665,1.0930463986746735,1.2103278827429984,-0.8381298742706099
0.88886,0.48689021,0.6876952677854611,0.6561866519706486,0.3159931748297723,0.14212069624485243,-0.1,0.22916666666666666,1.079122941176118,1.0148845344583428,-0.6642760706229289
0.733649,0.559872562,0.6459552998216072,0.7981565465755223,0.2642368521743546,0.2537435437923907,-0.1,0.27,1.114125065953669,1.1572196552925382,-0.7786502306086879
0.736009,0.788524131,0.3475365143462918,0.002188285046451854,0.48871848235427107,0.9459063706560257,-0.1,0.31,1.1951674276038773,1.1339011609736753,-0.7566362387827886
0.813577,1.127046627,0.6567338988292033,1.084348163899779,0.3569997814339995,0.7387630486584416,-0.1,0.3433333333333333,1.2020396336592714,1.2853639488286,-0.8876898575481627
0.192982,0.813409802,0.36524734828890854,0.5848918998072076,0.31152757564429967,0.4055401884258794,-0.1,0.4575,1.255402427294174,1.137667393066899,-0.7328016588214451
0.560975,0.530825141,-0.1520376627799979,0.6640435007107144,0.8531843791872402,0.7618557067604138,-0.1,0.5458333333333334,1.2168112304364973,1.1637587551237238,-0.7662751933830724
0.184092,0.623697425,0.15456847973968482,0.44995383977458164,0.594624169517842,0.35627834200272873,-0.1,0.55,1.1840658355259837,1.2944485278955373,-0.8437617422025285
0.569806,0.141644219,1.3179619980658939,0.5357234862151937,-0.21548252648201,0.3608343525477254,-0.1,0.635,1.168916842401843,1.3377339346744777,-0.9152579928225189
0.756702,0.624318082,-0.20506151916265228,-0.5017194436218543,0.33556601984858037,0.373810232251524,-0.1,0.63,1.1631620267322895,1.0319208141639677,-0.6628123642547225
0.459642,0.835145841,0.32953376130100226,1.3524965699733196,0.7634407741070686,0.5534214545779151,-0.1,0.6008333333333333,1.1488011688632753,1.3950461405670955,-0.9150958347855765
0.215702,1.170001857,0.7606394436765506,0.8773521642342655,0.20621635510385608,0.4154778314752596,-0.125,0.5258333333333334,1.1392650274200127,1.3875473126719442,-0.9019790702575476
0.049202,0.68187787,0.4597522050886282,0.41416048307272824,0.298404912276554,0.909108706406408,-0.125,0.4508333333333333,1.1414835741841842,1.2552105776173488,-0.817324050718834
-2.877148,-1.316321672,-3.3296155157186718,-1.2029815780521367,-0.12312610145932815,-0.3411888019728173,-0.125,0.3825,1.133578630337404,1.2165199606747865,-0.7572308756862486
-10.759036,-7.876784496,-9.443933324716332,-7.3322065890040395,0.31976441528482347,-0.331451023458044,-0.125,0.04625,1.1255798535090122,1.3239442529587901,-0.8277264671035566
10.772628,7.762279175,11.097424837501153,7.282543173156432,-0.26655490390757636,1.139504908293579,-0.125,0.03833333333333333,1.2121608136569768,1.3632473806326075,-0.8641117681134809
0.478574,1.13351511,-1.4940771784578895,1.098906961370486,0.26937244935491084,0.8887629858693347,-0.125,0.0375,1.2433411414682531,1.4638952434933428,-0.9637204263834735
0.937036,1.395816461,-1.6034676824258742,2.044355641698977,1.3382184839613671,0.9076327242878718,-0.125,0.02916666666666667,1.2505075495126416,1.4495307986372605,-0.8816007968398423
2.115103,1.701891279,3.1493066657718933,2.588579391611364,0.8540440263840099,2.3750550108986723,-0.125,0.025,1.2699030830895757,1.5150252147672356,-0.940443932244254
1.669716,0.82505287,3.010355020418329,0.8287554464214713,1.1226788784087096,1.1294209642739292,-0.125,0.025,1.2419245068091014,1.5592034620422606,-0.9717358599183521
0.954285,1.715755163,0.36793050325078197,0.35498311037738967,1.8834419226411456,2.412531877385587,-0.125,0.035,1.211555556077189,1.3781144999049648,-0.8823336431634262
0.718363,-0.254798627,-1.8730095081424543,-1.0743302875195107,3.7685544765931596,2.38116138472862,-0.125,0.11083333333333334,1.1723024843075032,1.129624227330074,-0.6820179497096184
0.81892,0.156547002,0.64712583759753,0.2838048938479568,2.4916152475465996,2.8802500031185825,-0.125,0.3425,1.1169201601071357,1.3268264310648286,-0.8211974422932935
0.421659,0.721899555,-0.004559540586530254,1.1513597331700365,2.379782143549551,0.31871191635480667,0.1875,0.7058333333333333,1.0347956026013587,1.0954807882367927,-0.6766189101249741
