Pays,iso3,date,indicator,value
Ireland,IRL,1960-Q3,trade_balance_usd_billion,-0.04819842
Italy,ITA,1960-Q3,trade_balance_usd_billion,-0.32572648
Japan,JPN,1960-Q3,trade_balance_usd_billion,-0.11460233
Netherlands,NLD,1960-Q3,trade_balance_usd_billion,-0.12891665
New Zealand,NZL,1960-Q3,trade_balance_usd_billion,0.019278001000000003
Portugal,PRT,1960-Q3,trade_balance_usd_billion,-0.05573826
South Korea,KOR,1960-Q3,trade_balance_usd_billion,-0.07719365
Sweden,SWE,1960-Q3,trade_balance_usd_billion,-0.06511341
Switzerland,CHE,1960-Q3,trade_balance_usd_billion,-0.10005053
Turkey,TUR,1960-Q3,trade_balance_usd_billion,-0.017821543
United Kingdom,GBR,1960-Q3,trade_balance_usd_billion,-0.6618743
United States,USA,1960-Q3,trade_balance_usd_billion,1.3092000000000001
Australia,AUS,1960-Q4,trade_balance_usd_billion,-0.122224793
Austria,AUT,1960-Q4,trade_balance_usd_billion,-0.08499635
Belgium,BEL,1960-Q4,trade_balance_usd_billion,-0.0321059645
Canada,CAN,1960-Q4,trade_balance_usd_billion,-0.03489397
Denmark,DNK,1960-Q4,trade_balance_usd_billion,-0.08618134
Finland,FIN,1960-Q4,trade_balance_usd_billion,-0.007865743
Germany,DEU,1960-Q4,trade_balance_usd_billion,0.37507629000000003
Greece,GRC,1960-Q4,trade_balance_usd_billion,-0.11304883
Iceland,ISL,1960-Q4,trade_balance_usd_billion,-0.0033472251999999997
Ireland,IRL,1960-Q4,trade_balance_usd_billion,-0.05406818
Italy,ITA,1960-Q4,trade_balance_usd_billion,-0.30727415
Japan,JPN,1960-Q4,trade_balance_usd_billion,-0.10831117
Netherlands,NLD,1960-Q4,trade_balance_usd_billion,-0.14830731
New Zealand,NZL,1960-Q4,trade_balance_usd_billion,-0.03279923
Portugal,PRT,1960-Q4,trade_balance_usd_billion,-0.06380742
South Korea,KOR,1960-Q4,trade_balance_usd_billion,-0.07544188
Sweden,SWE,1960-Q4,trade_balance_usd_billion,-0.10162733
Switzerland,CHE,1960-Q4,trade_balance_usd_billion,-0.10852011
Turkey,TUR,1960-Q4,trade_balance_usd_billion,-0.034470716
United Kingdom,GBR,1960-Q4,trade_balance_usd_billion,-0.6891426
United States,USA,1960-Q4,trade_balance_usd_billion,1.4887000000000001
Australia,AUS,1961-Q1,trade_balance_usd_billion,-0.08946187
Austria,AUT,1961-Q1,trade_balance_usd_billion,-0.08515439999999999
Belgium,BEL,1961-Q1,trade_balance_usd_billion,-0.156921076
Canada,CAN,1961-Q1,trade_balance_usd_billion,0.025030101
Denmark,DNK,1961-Q1,trade_balance_usd_billion,-0.08244798
Finland,FIN,1961-Q1,trade_balance_usd_billion,-0.032222904000000004
Germany,DEU,1961-Q1,trade_balance_usd_billion,0.49754509999999996
Greece,GRC,1961-Q1,trade_balance_usd_billion,-0.1399799
Iceland,ISL,1961-Q1,trade_balance_usd_billion,-8.810102299999999e-4
Ireland,IRL,1961-Q1,trade_balance_usd_billion,-0.05531106
Italy,ITA,1961-Q1,trade_balance_usd_billion,-0.27634841
Japan,JPN,1961-Q1,trade_balance_usd_billion,-0.23469215000000002
Netherlands,NLD,1961-Q1,trade_balance_usd_billion,-0.19731669
New Zealand,NZL,1961-Q1,trade_balance_usd_billion,-0.05666885
Portugal,PRT,1961-Q1,trade_balance_usd_billion,-0.06882472
South Korea,KOR,1961-Q1,trade_balance_usd_billion,-0.06530288000000001
Sweden,SWE,1961-Q1,trade_balance_usd_billion,-0.038867536
Switzerland,CHE,1961-Q1,trade_balance_usd_billion,-0.15175024
Turkey,TUR,1961-Q1,trade_balance_usd_billion,-0.022997035000000002
United Kingdom,GBR,1961-Q1,trade_balance_usd_billion,-0.5332897
United States,USA,1961-Q1,trade_balance_usd_billion,1.6138
Australia,AUS,1961-Q2,trade_balance_usd_billion,0.08151645
Austria,AUT,1961-Q2,trade_balance_usd_billion,-0.06418529
Belgium,BEL,1961-Q2,trade_balance_usd_billion,-0.04925689
Canada,CAN,1961-Q2,trade_balance_usd_billion,0.032497530000000004
Denmark,DNK,1961-Q2,trade_balance_usd_billion,-0.07641039
Finland,FIN,1961-Q2,trade_balance_usd_billion,-0.031166111099999998
